channel,fetched_at,source_url,external_product_id,brand_name,product_name,model_code,detail_url,thumbnail_url,feature_tags_json,offer_count,rating,review_count,order_count,ranking_rank,metadata_json
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012469,현대큐밍,더슬림 미니,HQP1815CB0,https://rentre.kr/product/1522012469,https://cdn.rentre.kr/product-thumbnail/decd3d0fc0ee4c4aa4860984a0f38576.png,[],1,5,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":12900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600001770,청호,NEW 700 P 냉온정 얼음정수기 (펌프형),WI-70S9P010M,https://rentre.kr/product/1600001770,https://cdn.rentre.kr/product-thumbnail/6ed2d99b8ff64b1fada28e7c485586b8.png,"[""얼음"",""냉수"",""온수"",""정수""]",1,5,1,0,,"{""sections"":[""main_list""],""badges"":[""타사보상 혜택""],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":7,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":49900,""brandCode"":""CHUNGHO"",""rentalCompany"":""청호""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522013737,현대유버스,"냉온정 정수기 (하프형, 20년형)",UBUS-P202HUF,https://rentre.kr/product/1522013737,https://cdn.rentre.kr/product-thumbnail/b92f4064597b4234b43d466a7616773f.png,"[""냉수"",""온수"",""정수""]",2,3.8,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":3.8,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":18900,""brandCode"":""HYUNDAI_UBERS"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600001578,삼성,비스포크 냉정 언더싱크 정수기 일체형 파우셋 (오프화이트),RWP54220BF7M,https://rentre.kr/product/1600001578,https://cdn.rentre.kr/product-thumbnail/aa1716603dc64c16bff30d3bad8777da.png,"[""냉수"",""정수""]",1,0,0,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":28400,""brandCode"":""SAMSUNG"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600005912,삼성,비스포크 AI 냉온정 정수기,RWP70F15ANC,https://rentre.kr/product/1600005912,https://cdn.rentre.kr/product-thumbnail/78d934ee27e547eba65cd9a63df4d30b.png,"[""냉수"",""온수"",""정수""]",1,0,0,0,,"{""sections"":[""main_list""],""badges"":[""25년 8월 출시"",""NEW""],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":32900,""brandCode"":""SAMSUNG"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600003857,풀무원,투오 미니워터 냉온정수기,PWD-100NW,https://rentre.kr/product/1600003857,https://cdn.rentre.kr/product-thumbnail/0883206538cb4ab1b995f099ffc4f44b.png,"[""냉수"",""온수"",""정수""]",1,0,0,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":false,""affiliateCardDiscountAmount"":null,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":10200,""brandCode"":""PULMUONE"",""rentalCompany"":""풀무원""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012461,현대큐밍,더퓨어 플러스 살균 (데스크형),HQP1931CS0,https://rentre.kr/product/1522012461,https://cdn.rentre.kr/product-thumbnail/806347a4bb224fe88a494a566ea833ef.png,[],1,5,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":20900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012446,현대큐밍,더슬림 마이핏 (냉정),HQPM14CW2D,https://rentre.kr/product/1522012446,https://cdn.rentre.kr/product-thumbnail/3a3965238fe9421db1d00384e5c11350.png,"[""냉수"",""정수""]",1,0,0,10,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":10,""expectDiscountRate"":26,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":19900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522013742,현대유버스,샤인 양전하 냉온정 정수기 (하프형),MLP-300H,https://rentre.kr/product/1522013742,https://cdn.rentre.kr/product-thumbnail/f31592d7a3e648eb8e9edb038e2328b8.png,"[""냉수"",""온수"",""정수""]",1,5,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":19900,""brandCode"":""HYUNDAI_UBERS"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522013745,현대유버스,대용량 냉온정 정수기 (역삼투압필터),WHCB-85RO,https://rentre.kr/product/1522013745,https://cdn.rentre.kr/product-thumbnail/67b57870ba1c418d87fcc9681b58caab.png,"[""냉수"",""온수"",""정수""]",1,5,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":5,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":31900,""brandCode"":""HYUNDAI_UBERS"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522013708,청호,아이스트리 플리 냉정 얼음정수기,WI-60C80511M,https://rentre.kr/product/1522013708,https://cdn.rentre.kr/product-thumbnail/564b913a4c4145ba8e08b58800212ad8.png,"[""얼음"",""냉수"",""정수""]",1,0,0,0,,"{""sections"":[""main_list""],""badges"":[""타사보상 혜택""],""rating"":0,""reviewCount"":0,""orderCount"":0,""expectDiscountRate"":8,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":43900,""brandCode"":""CHUNGHO"",""rentalCompany"":""청호""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:5080101,쿠쿠,인스퓨어 슬림 스탠드 냉온정 정수기,CP-X501SW,https://rentre.kr/product/5080101,https://cdn.rentre.kr/product-thumbnail/43dd6eca0be74a65aa0497765a1da99a.png,"[""냉수"",""온수"",""정수""]",2,0,0,20,,"{""sections"":[""main_list""],""badges"":[],""rating"":0,""reviewCount"":0,""orderCount"":20,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":19900,""brandCode"":""CUCKOO"",""rentalCompany"":""쿠쿠""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1600001579,삼성,비스포크 냉정 언더싱크 정수기 일체형 파우셋 (오프블랙),RWP54220BF6M,https://rentre.kr/product/1600001579,https://cdn.rentre.kr/product-thumbnail/17a81175b11b42429bbf04dac0167a59.png,"[""냉수"",""정수""]",1,4.4,1,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":4.4,""reviewCount"":1,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":28400,""brandCode"":""SAMSUNG"",""rentalCompany"":""OPEN""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522012450,현대큐밍,더퓨어 프리미엄 RO 냉온정 정수기 (스탠드형),HQP1770SS0,https://rentre.kr/product/1522012450,https://cdn.rentre.kr/product-thumbnail/1c00ad80ae1b45bdb1db4d02f06f92b1.png,"[""냉수"",""온수"",""정수""]",1,4,2,0,,"{""sections"":[""main_list""],""badges"":[],""rating"":4,""reviewCount"":2,""orderCount"":0,""expectDiscountRate"":0,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":10000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":26900,""brandCode"":""HYUNDAI_QUMING"",""rentalCompany"":""현대큐밍""}"
rentre,2026-03-27T05:00:24.821Z,https://rentre.kr/water-purifier,rentre:1522011393,청호,애니플러스 냉온정 정수기,WP-35C90010N,https://rentre.kr/product/1522011393,https://cdn.rentre.kr/product-thumbnail/7db810fc8aa348ae91e9bf5ae5443a93.png,"[""냉수"",""온수"",""정수""]",1,0,0,10,,"{""sections"":[""main_list""],""badges"":[""타사보상 혜택""],""rating"":0,""reviewCount"":0,""orderCount"":10,""expectDiscountRate"":8,""hasAffiliateCard"":true,""affiliateCardDiscountAmount"":13000,""isHalfPricePromotion"":false,""promoDurationMonths"":null,""postPromoMonthlyFee"":21900,""brandCode"":""CHUNGHO"",""rentalCompany"":""청호""}"
